start	end	text
402	2563	L'altro, l'uso di pericolazione.
2803	7985	Quindi, in terza ci sono dei ragazzi che vi ho fatto conoscere.
8345	11326	Uno era qui, l'altro era per il riconciato o l'influenza.
11406	14167	Con una schierina, forse loro non l'hanno visto.
15788	16368	Ma chi, Iari?
16428	17489	No, lui no.
17569	17929	In merito.
17949	19389	Tu forse c'eri, chi è che c'era?
19429	19850	In merito.
19950	20790	Forse non c'era.
21090	21910	Ma di terza?
22891	23631	Di terza hai detto?
23731	24151	Sì, sì.
24211	24791	Iari?
25012	25412	Iari, sì.
26946	45834	e allora o uno o l'altro quindi fanno lo stesso lavoro che sta facendo lui quindi gli insegna in pratica misare come si fa siccome sono andati a svegliare questo punto di vista loro potrebbero fare lo stesso lavoro che poi te, facciare lezioni alla registra e poi ci sputaliamo
49156	53819	le come lezioni, cioè, poi le condividiamo.
53879	57481	A me così in pratica mi interessa il git.
58922	63084	Quella è una cosa che poi, vorrei che facesse una lezione.
63564	65686	Mi piacerebbe che voi mi metteste d'accordo.
65866	67046	Ma sia git che chitab?
67927	69648	Git, chitab, perché siete voi.
70468	71389	Ma sono un po' di cose diverse.
71629	73970	Tuttamente sono le stesse cose.
80149	87252	Github è il sito che ti si interfaccia al programma, fondamentalmente.
87412	92514	Infatti io posso avere un reposito di Github non su Github, ma su un locale.
93394	96616	Non so, è la stessa cosa.
96636	97156	Vi propongo...
103937	108320	e ti dici mando!
109161	113104	si dai, conoscetevi io vado a fare un bel... perché io sono venuto prima no?
114204	117887	eh, mi chiedeva di venire, mi dicevi... e tuttanto lui arriva ieri!
118207	122911	eh, ma... animale di un buco!
123491	124912	vado, c'è un bel piattone!
125152	128374	stasera vi faccio male!
128815	129575	io lo faccio
138085	155701	io sono ITP però non di questo indirizzo siccome sono carenti di questo indirizzo non ci sono perché non vengono per 800 euro a scuola ma vanno a lavorare in azienda io sono un ITP di laboratorio ma di indirizzo commerciale quindi non so un cazzo di quello che sta dicendo lui
156223	159424	Stava a posto.
159664	166527	Sì, però per quanto riguarda andare in laboratorio, portarvi in laboratorio io vi ci porto tranquillamente.
166627	169548	Lui mi darà delle istruzioni, spero.
169588	171829	Voi le sapete seguire meglio di mio grido.
172709	178171	Quindi l'aiuto mio e il supporto c'è, però per me è un stroboto.
178211	182173	Poi mi vedrete prendere dei punti perché sto imparando anch'io.
182493	185014	Man mano che lui mi dice qualcosa inizio
186397	191459	Ho fatto sempre solo commerciale, grafica, moda e commerciale.
191639	195181	L'altra parte.
195341	196862	Diametralmente zero.
197522	210768	Quando sono stata a scuola, quando mi sono diplomata io nel 1994, che ho 48 anni, questo che esiste adesso non c'era, non esisteva.
210868	213549	Quindi anche io ho fatto l'indirizzo programmatore
214213	221319	era la prima classe, il primo anno sperimentale di programmazione e i professori non esistevano.
221339	234210	Quindi c'era il tizio di turno che magari ha iniziato, che cos'è, il computer, come funziona, classico materiale dottrinale delle TIC, diciamo, grossolanamente.
234270	236692	Quindi, niente, io vi voglio aiutare.
237392	239354	Già ho il timore e il terrore del prof.
239970	243171	Poi ci fai l'abitudine.
243231	244891	No, perché mi mette l'ansia.
245011	251573	Già so che il suo giudizio mi ha... Sì, sì, è il giudizio divino.
252073	253093	Ma sai cosa?
253433	258655	Io non sono così, sono molto attiva, il laboratorio mi piace fare, voi non mi potete far fare un cazzo.
260267	285694	io entro in laboratorio, ragazzi accendete, andiamo a bere, andiamo a fare la fattura sì no, naturalmente cercherà un approccio nel senso lei ci può fare più la parte, lui ci può fare più la parte teorica e poi andremo in laboratorio e voi la considerete, perché con me in laboratorio lo farete, perché sto qua per questo vabbè, magari lui cerca anche di coinvolgerti con le tue... sì sì no, ma lui infatti ma... le mani, infatti, lui è un pezzo di una madre
285974	312820	perché l'anno scorso avevamo un ragazzo che anche lui aveva fatto commerciale per riuscire a integrare anche lui stavamo facendo un lavoro su statistica con le matrici poi anche stava cercando di... a me dispiace fondamentalmente c'è già meno male che ci andiamo... no no ma quello che mi riguarda, cioè andiamoci in laboratorio, lavorate, applicatevi
314548	341540	vi aiuto per quel poco che riesco a capire ma sapete più voi che io il problema è il sistema di reclutamento docente perché se io sono commerciale tu non mi devi inserire dove non posso o dove non ci arrivo sto spiegando ai ragazzi i problemi del reclutamento del MTP ma li conosciamo già loro mi hanno detto che è un problema ormai cronico
342880	354148	e a me dispiace perché vorrei dare una mano lo so ma sei pure perché mi sento inutile allo scorso aveva i capelli eh?
354248	366137	oh poveretto no stavo spiegando a loro che io non sono così cioè io nel laboratorio mi animo è perché quello che faccio però qua
367216	393087	Io sto prendendo appunto, ieri ho imparato tantissimo e a dire il vero ho scaricato XAMPP non capisco niente, l'ho scaricato, ha funzionato però piano piano mi metterò, cioè farò lo stesso che fate voi cercherò di adeguarmi, magari così può essere che negli anni mi formo e poi saprò fare bene
395060	401423	visto che già l'anno scorso mi era arrivata una suplenza e io la rifiutai perché io non mi sono sentita.
401443	408227	Ma guarda, io te lo dico, di che qui è arrivata... c'è stata una miniatura... l'hai conosciuta forse l'anno scorso?
408387	413049	No, in quarta... sì, dovrebbe essere in quinta quest'anno.
414690	422954	Mi è arrivata un suplente... no, uno studente e... un po' più che quello di te.
423014	424175	Ma scusa, quello con gli occhiali?
425111	425851	Dei capelli rundi?
426691	429012	No... Ma come si chiamava poi per l'Alzheimer?
429032	430292	Come si chiamava il ragazzo?
430432	432553	E' venuto... No, come si chiamava?
433813	438074	Lui praticamente aveva rifiutato una suplenza al Conti.
439395	440635	Come si chiamano i lavoratori?
440695	441095	Interconti.
441315	441855	Il motivo?
443896	445076	Ero ragioniero del programma Azzurra.
446712	475701	e io sono stata io l'anno scorso a letto le conti non sapeva niente tutto è fatto si è scritto qui ma come studente infatti hai detto ma scusami Nessi non ha fatto i conti cioè che poi era un carino hai perso un lavoro hai perso è chiaro che dici vabbè aveva dell'altro dice sì però io non me la sono sentita di accettare quelle cose perché chiaramente non ero in condizione di fare quelle cose poi si è fatta la terza
476940	487809	Con lui ho fatto anche il TPSI e ha visto quel tipo di programmazione che... ...teni conto che lui già aveva base di programmazione.
489250	489630	Chiaro.
489650	493073	Stiamo parlando di tanti anni fa.
493654	495996	Io quello che c'ho lontano, 94, mi sono diplomata io.
496016	496816	All'epoca era la prima...
505635	532770	classe sperimentale di informatica quindi anche i docenti non è che erano... però ci sto pensando lo sai che questo fatto proprio ieri pensavo a iscrivermi magari a fare un corso cioè iscrivermi proprio a scuola per prendermi per fare io ti dico quell'esperienza che infatti anche lui ha detto ma attraverso lui era dentro anche perché poi
534329	541030	Era nel mondo gestionale, la domanda che hai fatto a te, dimmi quali sono i tuoi punti di forza e quindi cerchiamo di lavorare sui punti di forza.
541891	562095	Il discorso del gestionale, lui aveva lavorato sui gestionali, quindi aveva già delle altre basi, e poi ovviamente aveva anche basi di programmazione, infatti tante cose, tipo i cicli del spiego,
563312	574854	E poi niente, una delle cose che faceva, che poi tra l'altro erano tra i più anziani, ecco perché dico non mi fido di lui perché ancora è uno scappato da casa, come non mi fidavo di lui?
574914	578035	Adesso poco poco, perché?
578355	581835	Perché vengono a cerare perché sapendo che non si fa un cazzo, punto.
582756	589377	Poi incontrano me, gli faccio il culo e poi dicono forse hai due possibilità, uno che ne va al Giorgi,
590538	618306	liceo informatica e non si fa un cazzo prima rimandavo a Sesto infatti quella scuola è chiusa lo Spinelli, sì l'ITIS di Sesto, Serare c'erano i pentrinelli eravamo gli unici c'erano i pentrinelli tutti se ne andavano quella era una scuola che io non consideravo una buona scuola quella è chiusa io sono ancora qui
